submission_date,starttime,endtime,tinh,tentinh,huyen,tenhuyen,xa,tenxa,thon,tenthon,khuvuc,idcode0,nguoipv,entry,a001,a002,a005,a005a,a006,a008,a008a,a008aa,a009,a009a,z8,instanceID
"2017-09-29 08:56:08","2017-09-29 07:16:42","2017-09-29 08:56:01","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",3,"Nguyen thu ha",224,"Nam",65,"Kinh","","Tốt nghiệp cấp II","Nghi huu","Nghỉ hưu (và không làm thêm)","","Dịch vụ/Kinh doanh (Nhà nước)","","Khong co","uuid:9254f434-d202-4537-aa21-e4d9d84cce86"
"2017-10-01 15:15:50","2017-10-01 14:30:17","2017-10-01 15:15:47","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",19,"Nguyen Phuong Linh",238,"Nữ",66,"Kinh","","Tốt nghiệp cấp III","Nghi huu","Nghỉ hưu (và không làm thêm)","","Cơ quan nhà nước","","Khong co","uuid:89eb664f-4b1e-4742-a8a5-69f4928e762a"
"2017-09-30 09:06:16","2017-09-30 08:10:52","2017-09-30 09:06:13","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",12,"Nguyen thi thuong",291,"Nam",62,"Kinh","","Tốt nghiệp cấp III","Trong trot","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:07ef8538-e31a-4f90-affc-b868af9753c0"
"2017-09-30 10:45:47","2017-09-30 09:51:17","2017-09-30 10:45:43","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",10,"Le Thi Ngoc Anh",197,"Nam",52,"Kinh","","Tốt nghiệp cấp II","Lam nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:d8b8ea7c-a9ad-4e78-880d-192b81032675"
"2017-09-29 15:35:14","2017-09-29 14:55:32","2017-09-29 15:35:12","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",10,"Nguyen ngoc phuong mai",246,"Nữ",58,"Kinh","","Học xong tiểu học","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:f3d610ab-9b63-44db-810d-aefe0007a414"
"2017-10-01 17:05:44","2017-10-01 15:39:27","2017-10-01 17:05:27","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",3,"Nguyen thu ha",224,"Nữ",59,"Kinh","","Tốt nghiệp cấp III","Lam toc, cat toc","Lao động có tay nghề","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:7b6a8335-e86c-4cd0-86c3-3136fafef6e4"
"2017-09-30 16:32:34","2017-09-30 15:31:49","2017-09-30 16:32:31","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Nông thôn",14,"Tran Thi Mai Huong",210,"Nữ",63,"Kinh","","Chưa học hết cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:7b545670-8f14-480a-8afa-23dd47910481"
"2017-09-30 17:46:15","2017-09-30 16:57:36","2017-09-30 17:46:11","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",43,"Tran Thi Mai Huong",210,"Nữ",64,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:d1680e81-8e60-4600-8fa6-a6c1bfa7dc8b"
"2017-09-30 17:05:51","2017-09-30 16:18:47","2017-09-30 17:05:47","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",3,"Le Thi Ngoc Anh",197,"Nữ",26,"Kinh","","Tốt nghiệp ĐH/Cao đẳng","Cong chuc nha nuoc","Quản lý / Giám sát / Điều hành","","Cơ quan nhà nước","","Khong co","uuid:c8ca1a09-4ebf-4371-b315-0ce4ca2058e7"
"2017-09-29 14:12:34","2017-09-29 13:28:49","2017-09-29 14:12:29","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",8,"Nguyen ngoc phuong mai",246,"Nam",56,"Kinh","","Tốt nghiệp cấp II","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:63269ea3-301d-410c-876e-2d4f30d6379e"
"2017-09-30 17:47:21","2017-09-30 17:06:09","2017-09-30 17:47:17","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",1,"Nguyen Phuong Linh",238,"Nam",53,"Kinh","","Tốt nghiệp cấp III","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:67dcca03-3fc2-4127-a5b9-1e339e26021d"
"2017-09-30 12:11:14","2017-09-30 11:27:45","2017-09-30 12:11:10","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",11,"Nguyen ngoc phuong mai",246,"Nữ",43,"Kinh","","Tốt nghiệp cấp II","Trong trot","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:6cc17db8-3c62-40cc-8498-ce8f85cc3f54"
"2017-09-29 17:21:40","2017-09-29 16:30:05","2017-09-29 17:21:25","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900227","Thôn Nhan Bầu","Nông thôn",48,"Nguyen thi thuong",291,"Nam",53,"Kinh","","Tốt nghiệp cấp II","Lam nghe moc","Lao động có tay nghề","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:1095db6d-b814-4fc3-bb68-62c7a3d5f4c8"
"2017-09-30 16:42:49","2017-09-30 15:53:30","2017-09-30 16:42:45","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",5,"Nguyen thi thuong",291,"Nữ",43,"Kinh","","Tốt nghiệp cấp II","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:e3efe0a2-66f7-439d-b7bb-9f8b65be9b31"
"2017-10-01 15:09:08","2017-10-01 14:22:49","2017-10-01 15:09:05","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",13,"Tran Thi Mai Huong",210,"Nữ",48,"Kinh","","Tốt nghiệp cấp II","Cong nhan","Lao động có tay nghề","","Công nghiệp (Tư nhân)","","Khong co","uuid:dcccd585-2a7c-4401-b0ad-6175ad61731e"
"2017-10-01 10:16:18","2017-10-01 09:26:47","2017-10-01 10:16:15","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",3,"Tran Thi Mai Huong",210,"Nữ",35,"Kinh","","Tốt nghiệp cấp II","Cong nhan","Lao động có tay nghề","","Công nghiệp (Nước ngoài/Liên doanh)","","Khong co","uuid:fc26f463-a59e-456d-8b75-b65e44354618"
"2017-09-29 17:26:18","2017-09-29 16:16:47","2017-09-29 17:26:15","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",42,"Ha Thi Kim Quy",290,"Nam",42,"Kinh","","Tốt nghiệp cấp II","Lam nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:5b64fa2d-f25e-4482-81ae-293ab3504d0c"
"2017-10-01 14:46:47","2017-10-01 13:50:17","2017-10-01 14:46:43","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",50,"Nguyen thi thuong",291,"Nữ",46,"Kinh","","Tốt nghiệp cấp III","Ban hang","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:635cd9e9-ad97-42ab-b957-41193e726e2b"
"2017-09-30 18:10:54","2017-09-30 17:17:21","2017-09-30 18:10:50","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",45,"Nguyen ngoc phuong mai",246,"Nữ",61,"Kinh","","Tốt nghiệp cấp II","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:b5b2deb0-31bd-48b7-89dc-c264c550fa60"
"2017-10-01 11:54:12","2017-10-01 10:52:20","2017-10-01 11:54:08","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",46,"Nguyen thu ha",224,"Nam",40,"Kinh","","Tốt nghiệp cấp II","Lao dong tu do","Lao động không có tay nghề","","Khác","Lao dong tu do, lam thue","Khong co","uuid:1e8885df-d74a-4787-b5ae-e91d384177d5"
"2017-10-01 12:31:44","2017-10-01 11:26:47","2017-10-01 12:31:40","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",14,"Le thi kim anh",289,"Nam",60,"Kinh","","Chưa học hết cấp II","Trong trot","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:f42ebd2e-23ff-4273-a268-f1e656cf36ca"
"2017-09-30 12:42:10","2017-09-30 11:59:19","2017-09-30 12:42:07","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",6,"Tran Thi Mai Huong",210,"Nam",56,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:dd23edf6-e2d5-4e4e-b0bd-2aefdbbdd4ad"
"2017-09-29 17:18:58","2017-09-29 16:31:16","2017-09-29 17:18:53","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",43,"Nguyen ngoc phuong mai",246,"Nam",35,"Kinh","","Tốt nghiệp cấp II","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:da67c007-d66e-483b-87d3-44c1d143f6f3"
"2017-09-29 12:05:20","2017-09-29 10:59:59","2017-09-29 12:05:18","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",17,"Ha Thi Kim Quy",290,"Nữ",50,"Kinh","","Tốt nghiệp cấp II","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:40be4033-746d-4178-b6f1-f8d1199cbf23"
"2017-09-30 15:18:32","2017-09-30 14:06:25","2017-09-30 15:18:28","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",18,"Nguyen ngoc phuong mai",246,"Nữ",69,"Kinh","","Học xong tiểu học","Nghi huu","Nghỉ hưu (và không làm thêm)","","Dịch vụ/Kinh doanh (Nhà nước)","","Khong co","uuid:c0ffd148-25bf-4e74-98fb-03983e78c549"
"2017-10-01 09:34:32","2017-10-01 08:13:59","2017-10-01 09:34:26","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",8,"Le Thi Ngoc Anh",197,"Nữ",60,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:7a205a30-a566-49c9-87cc-eafbbcf120b8"
"2017-09-29 15:42:24","2017-09-29 14:57:50","2017-09-29 15:42:20","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900227","Thôn Nhan Bầu","Nông thôn",9,"Le Thi Ngoc Anh",197,"Nam",38,"Kinh","","Tốt nghiệp cấp III","Lam nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Khác","Lai xe tai","Khong  co","uuid:2b4bacf4-2231-47cd-9b6f-a9d0d2b61cdc"
"2017-09-29 16:04:49","2017-09-29 15:14:11","2017-09-29 16:04:22","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",17,"Tran Thi Mai Huong",210,"Nữ",58,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:9bcfa83b-399f-43eb-84b7-31facc015e14"
"2017-10-01 17:32:07","2017-10-01 16:45:26","2017-10-01 17:32:04","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",6,"Ha Thi Kim Quy",290,"Nữ",58,"Kinh","","Tốt nghiệp ĐH/Cao đẳng","Ve huu","Nghỉ hưu (và không làm thêm)","","Cơ quan nhà nước","","Khong co","uuid:fba3c7c9-8e23-4eea-96d6-bb7ea99e2fd8"
"2017-10-01 16:45:14","2017-10-01 15:37:13","2017-10-01 16:45:11","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",15,"Ha Thi Kim Quy",290,"Nam",54,"Kinh","","Tốt nghiệp ĐH/Cao đẳng","Tho may","Lao động có tay nghề","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:c3fb6a3e-0cb0-4d6e-ad11-6c37a6614457"
"2017-10-01 10:39:46","2017-10-01 09:38:58","2017-10-01 10:39:42","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",4,"Ha Thi Kim Quy",290,"Nữ",57,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:463c4d7b-fcf7-4230-9511-3415889b5715"
"2017-09-30 08:50:32","2017-09-30 07:58:04","2017-09-30 08:50:27","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",17,"Nguyen ngoc phuong mai",246,"Nữ",63,"Kinh","","Tốt nghiệp cấp II","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:6b3b2f91-166a-446b-ad38-5e7efa45642b"
"2017-09-30 15:53:22","2017-09-30 15:08:36","2017-09-30 15:53:16","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",18,"Nguyen thi thuong",291,"Nam",50,"Kinh","","Tốt nghiệp cấp III","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:a4f7e916-7f18-4816-bc78-ec06135b1845"
"2017-10-01 11:46:07","2017-10-01 11:04:08","2017-10-01 11:46:03","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",13,"Nguyen Phuong Linh",238,"Nữ",47,"Kinh","","Tốt nghiệp cấp II","Cong nhan may","Lao động có tay nghề","","Công nghiệp (Nước ngoài/Liên doanh)","","Khong co","uuid:93fb75f8-43d2-491b-877a-982a7037b166"
"2017-09-29 14:19:29","2017-09-29 13:36:53","2017-09-29 14:19:26","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900227","Thôn Nhan Bầu","Nông thôn",1,"Nguyen Phuong Linh",238,"Nam",58,"Kinh","","Tốt nghiệp cấp III","Bo doi","Chuyên gia, kỹ thuật (bao gồm cả quân đội, cảnh sát, an ninh)","","Quốc phòng/Công an","","Khong co","uuid:61b07ae3-13eb-4633-8d0e-99fb1d231d04"
"2017-10-01 16:11:02","2017-10-01 15:31:19","2017-10-01 16:10:54","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",12,"Nguyen thi thuong",291,"Nam",30,"Kinh","","Tốt nghiệp cấp III","Ban hang","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:c41ed94d-43da-496d-86ff-24197fdba1a8"
"2017-10-01 09:36:57","2017-10-01 08:32:07","2017-10-01 09:36:52","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",1,"Nguyen thi thuong",291,"Nam",66,"Kinh","","Tốt nghiệp cấp II","Ve huu","Nghỉ hưu (và không làm thêm)","","Công nghiệp (Nhà nước)","","Khong co","uuid:3ae423e6-6cda-4ead-b0b3-aabbefb28b58"
"2017-09-29 16:30:17","2017-09-29 15:26:10","2017-09-29 16:29:52","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900227","Thôn Nhan Bầu","Nông thôn",14,"Nguyen thi thuong",291,"Nam",54,"Kinh","","Tốt nghiệp ĐH/Cao đẳng","Trong trot","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:220aed34-edc8-415f-8169-f2cdf90a4984"
"2017-09-29 10:59:35","2017-09-29 09:51:23","2017-09-29 10:59:31","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",16,"Ha Thi Kim Quy",290,"Nam",56,"Kinh","","Chưa học hết cấp II","Tho xay","Lao động có tay nghề","","Công nghiệp (Tư nhân)","","Khong co","uuid:e6354db6-7f72-43b1-bede-25bbbaa9620a"
"2017-09-29 09:32:15","2017-09-29 08:25:24","2017-09-29 09:32:12","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",1,"Le thi kim anh",289,"Nam",60,"Kinh","","Chưa học hết cấp II","Kinh doanh quan ao","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:5e53e80e-b2ef-444c-a42d-795d38e360c8"
"2017-10-01 15:50:00","2017-10-01 15:03:59","2017-10-01 15:49:55","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",10,"Le Thi Ngoc Anh",197,"Nữ",45,"Kinh","","Tốt nghiệp cấp III","Ban hang","Chủ kinh doanh gia đình","","Khác","Ban hang ma","Khong co","uuid:ccc9fafd-d1d0-4ca0-9a27-b26f2648f7b1"
"2017-09-29 17:55:40","2017-09-29 16:53:19","2017-09-29 17:55:37","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",15,"Le thi kim anh",289,"Nam",59,"Kinh","","Chưa học hết cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:052a5868-ae8e-4a1f-8ce5-28358970c4a7"
"2017-09-29 11:17:44","2017-09-29 10:34:12","2017-09-29 11:17:39","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",11,"Le Thi Ngoc Anh",197,"Nữ",45,"Kinh","","Tốt nghiệp cấp III","Buon ban","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:9a792a4c-7bbe-4039-ad07-c9daa0fe45f4"
"2017-09-30 17:17:06","2017-09-30 16:30:47","2017-09-30 17:17:03","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",4,"Nguyen ngoc phuong mai",246,"Nữ",29,"Kinh","","Tốt nghiệp cấp II","Ban hang","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:caf99e73-4d28-4592-9156-65cd88206839"
"2017-09-30 11:59:09","2017-09-30 11:02:15","2017-09-30 11:59:05","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",47,"Tran Thi Mai Huong",210,"Nữ",31,"Kinh","","Tốt nghiệp cấp III","Cong nhan","Lao động có tay nghề","","Công nghiệp (Nước ngoài/Liên doanh)","","Khong co","uuid:574f5c32-f4d2-4bb6-ba88-a172a69df34d"
"2017-10-01 17:07:52","2017-10-01 16:11:05","2017-10-01 17:07:36","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",48,"Nguyen thi thuong",291,"Nam",67,"Kinh","","Tốt nghiệp cấp III","Ban hang","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:4d75cd6c-565a-41bb-8dd7-244e73567a38"
"2017-10-01 14:22:28","2017-10-01 13:40:30","2017-10-01 14:22:24","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",50,"Tran Thi Mai Huong",210,"Nữ",57,"Kinh","","Tốt nghiệp cấp II","Ban hang","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:60fa8500-ade6-4e6e-b92d-f5cb369e874d"
"2017-09-29 12:16:50","2017-09-29 07:16:10","2017-09-29 12:16:45","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",1,"Nguyen thi thuong",291,"Nam",60,"Kinh","","Tốt nghiệp cấp III","Nghi huu","Nghỉ hưu (và không làm thêm)","","Công nghiệp (Nhà nước)","","Khong co","uuid:630dc18c-9495-4140-9c76-6a0bbf569dc5"
"2017-09-29 10:38:43","2017-09-29 09:43:23","2017-09-29 10:38:40","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",13,"Nguyen ngoc phuong mai",246,"Nữ",53,"Kinh","","Tốt nghiệp cấp II","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:4ab86882-e81c-468d-a80b-f18328079912"
"2017-10-01 12:16:32","2017-10-01 11:19:10","2017-10-01 12:16:27","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",1,"Nguyen ngoc phuong mai",246,"Nữ",41,"Kinh","","Chưa học hết cấp III","Buon ban","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:11d9a0fc-4a9b-4e4a-87fe-f1503c130696"
"2017-09-30 16:21:54","2017-09-30 15:29:21","2017-09-30 16:21:50","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",11,"Nguyen Phuong Linh",238,"Nam",58,"Kinh","","Tốt nghiệp cấp II","Chan nuoi","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Khác","Nghe tu do","Thoi gian bat dau pv la 15h35p. Do ban dau voi nen vao phan gioi thieu va lam bo phieu hoi sau do quay tro lai dien thong tin ban dau. Vi vay thoi gian bat dau khong chinh xac trong tablet","uuid:2ca774fa-fa21-46a3-824b-f0af3f356d8f"
"2017-09-29 09:08:23","2017-09-29 08:15:42","2017-09-29 09:08:20","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",2,"Tran Thi Mai Huong",210,"Nữ",60,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:e919c5da-6cc4-4468-860f-99783f113954"
"2017-10-01 14:46:37","2017-10-01 13:41:55","2017-10-01 14:46:34","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",51,"Ha Thi Kim Quy",290,"Nữ",54,"Kinh","","Tốt nghiệp cấp II","Kinh doanh tap hoa","Người lao động cho gia đình không được trả lương","","Công nghiệp (Nhà nước)","","Khong co","uuid:31a4a325-39fe-494a-bcfc-b790a89f82a4"
"2017-09-30 10:07:26","2017-09-30 09:18:19","2017-09-30 10:07:19","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",15,"Ha Thi Kim Quy",290,"Nữ",53,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:258cffaa-6dbc-47b4-90be-c5c806ce98a8"
"2017-09-29 09:57:06","2017-09-29 08:56:17","2017-09-29 09:57:02","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",12,"Nguyen thu ha",224,"Nam",58,"Kinh","","Tốt nghiệp cấp II","Lam nong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:f6bd1d4d-072e-40bb-85d0-45e6e30bf458"
